1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1745 , 1684 , 1684 , 1684 , 1684 , 1684 , 1473 , 1162 , 1148 , 1148 , 1148 , 1148 , 1148 , 1074 , 1053 , 1053 , 1053 , 1053 , 1049 , 1043 , 1043 , 1036 , 1023 , 1023 , 984 , 957 , 948 , 929 , 919 , 900 , 872 , 862 , 839 , 832 , 819 , 807 , 791 , 786 , 759 , 745 , 720 , 701 , 689 , 678 , 664 , 632 , 596 , 567 , 538 , 518 , 470 , 454 , 421 , 415 , 395 , 375 , 357 , 341 , 327 , 313 , 286 , 269 , 249 , 236 , 194 , 174 , 145 , 132 , 105 , 94 , 85 , 70 , 49 , 25 , 20 , 20 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1646 , 1586 , 1586 , 1586 , 1586 , 1586 , 1346 , 1083 , 1072 , 1072 , 1072 , 1072 , 1072 , 1011 , 981 , 981 , 981 , 981 , 971 , 965 , 946 , 941 , 924 , 914 , 895 , 882 , 878 , 855 , 818 , 810 , 778 , 765 , 753 , 734 , 722 , 715 , 713 , 702 , 691 , 684 , 671 , 659 , 637 , 624 , 610 , 601 , 561 , 526 , 499 , 478 , 457 , 440 , 398 , 381 , 360 , 351 , 326 , 314 , 308 , 280 , 265 , 242 , 212 , 192 , 161 , 149 , 131 , 110 , 95 , 73 , 64 , 59 , 36 , 21 , 17 , 17 , 13 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 
1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1734 , 1643 , 1643 , 1643 , 1643 , 1643 , 1349 , 1120 , 1091 , 1091 , 1091 , 1091 , 1091 , 1048 , 1015 , 1015 , 1015 , 1015 , 1012 , 1008 , 1004 , 998 , 980 , 972 , 954 , 932 , 926 , 910 , 897 , 889 , 878 , 862 , 855 , 846 , 825 , 811 , 778 , 746 , 719 , 687 , 672 , 654 , 644 , 641 , 622 , 580 , 534 , 516 , 485 , 479 , 457 , 442 , 408 , 394 , 392 , 360 , 331 , 303 , 292 , 267 , 243 , 222 , 207 , 172 , 158 , 140 , 97 , 88 , 60 , 50 , 44 , 35 , 15 , 8 , 8 , 6 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1745 , 1684 , 1684 , 1684 , 1684 , 1684 , 1473 , 1162 , 1148 , 1148 , 1148 , 1148 , 1148 , 1074 , 1053 , 1053 , 1053 , 1053 , 1049 , 1043 , 1043 , 1036 , 1023 , 1023 , 984 , 957 , 948 , 929 , 919 , 900 , 872 , 862 , 839 , 832 , 819 , 807 , 791 , 786 , 759 , 745 , 720 , 701 , 689 , 678 , 664 , 632 , 596 , 567 , 538 , 518 , 470 , 454 , 421 , 415 , 395 , 375 , 357 , 341 , 327 , 313 , 286 , 269 , 249 , 236 , 194 , 174 , 145 , 132 , 105 , 94 , 85 , 70 , 49 , 25 , 20 , 20 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1745 , 1684 , 1684 , 1684 , 1684 , 1684 , 1473 , 1162 , 1148 , 1148 , 1148 , 1148 , 1148 , 1074 , 1053 , 1053 , 1053 , 1053 , 1049 , 1043 , 1043 , 1036 , 1023 , 1023 , 984 , 957 , 948 , 929 , 919 , 900 , 872 , 862 , 839 , 832 , 819 , 807 , 791 , 786 , 759 , 745 , 720 , 701 , 689 , 678 , 664 , 632 , 596 , 567 , 538 , 518 , 470 , 454 , 421 , 415 , 395 , 375 , 357 , 341 , 327 , 313 , 286 , 269 , 249 , 236 , 194 , 174 , 145 , 132 , 105 , 94 , 85 , 70 , 49 , 25 , 20 , 20 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1745 , 1684 , 1684 , 1684 , 1684 , 1684 , 1473 , 1162 , 1148 , 1148 , 1148 , 1148 , 1148 , 1074 , 1053 , 1053 , 1053 , 1053 , 1049 , 1043 , 1043 , 1036 , 1023 , 1023 , 984 , 957 , 948 , 929 , 919 , 900 , 872 , 862 , 839 , 832 , 819 , 807 , 791 , 786 , 759 , 745 , 720 , 701 , 689 , 678 , 664 , 632 , 596 , 567 , 538 , 518 , 470 , 454 , 421 , 415 , 395 , 375 , 357 , 341 , 327 , 313 , 286 , 269 , 249 , 236 , 194 , 174 , 145 , 132 , 105 , 94 , 85 , 70 , 49 , 25 , 20 , 20 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1841 , 1745 , 1684 , 1684 , 1684 , 1684 , 1684 , 1473 , 1162 , 1148 , 1148 , 1148 , 1148 , 1148 , 1074 , 1053 , 1053 , 1053 , 1053 , 1049 , 1043 , 1043 , 1036 , 1023 , 1023 , 984 , 957 , 948 , 929 , 919 , 900 , 872 , 862 , 839 , 832 , 819 , 807 , 791 , 786 , 759 , 745 , 720 , 701 , 689 , 678 , 664 , 632 , 596 , 567 , 538 , 518 , 470 , 454 , 421 , 415 , 395 , 375 , 357 , 341 , 327 , 313 , 286 , 269 , 249 , 236 , 194 , 174 , 145 , 132 , 105 , 94 , 85 , 70 , 49 , 25 , 20 , 20 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1765 , 1646 , 1586 , 1586 , 1586 , 1586 , 1586 , 1346 , 1083 , 1072 , 1072 , 1072 , 1072 , 1072 , 1011 , 981 , 981 , 981 , 981 , 971 , 965 , 946 , 941 , 924 , 914 , 895 , 882 , 878 , 855 , 818 , 810 , 778 , 765 , 753 , 734 , 722 , 715 , 713 , 702 , 691 , 684 , 671 , 659 , 637 , 624 , 610 , 601 , 561 , 526 , 499 , 478 , 457 , 440 , 398 , 381 , 360 , 351 , 326 , 314 , 308 , 280 , 265 , 242 , 212 , 192 , 161 , 149 , 131 , 110 , 95 , 73 , 64 , 59 , 36 , 21 , 17 , 17 , 13 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 
1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1809 , 1734 , 1643 , 1643 , 1643 , 1643 , 1643 , 1349 , 1120 , 1091 , 1091 , 1091 , 1091 , 1091 , 1048 , 1015 , 1015 , 1015 , 1015 , 1012 , 1008 , 1004 , 998 , 980 , 972 , 954 , 932 , 926 , 910 , 897 , 889 , 878 , 862 , 855 , 846 , 825 , 811 , 778 , 746 , 719 , 687 , 672 , 654 , 644 , 641 , 622 , 580 , 534 , 516 , 485 , 479 , 457 , 442 , 408 , 394 , 392 , 360 , 331 , 303 , 292 , 267 , 243 , 222 , 207 , 172 , 158 , 140 , 97 , 88 , 60 , 50 , 44 , 35 , 15 , 8 , 8 , 6 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1720 , 1616 , 1560 , 1560 , 1560 , 1560 , 1560 , 1333 , 1129 , 1112 , 1112 , 1112 , 1112 , 1112 , 1023 , 991 , 991 , 991 , 991 , 986 , 986 , 982 , 970 , 960 , 958 , 938 , 911 , 892 , 883 , 870 , 839 , 839 , 826 , 806 , 798 , 778 , 771 , 741 , 720 , 705 , 675 , 645 , 641 , 639 , 629 , 604 , 587 , 570 , 546 , 511 , 494 , 479 , 465 , 452 , 435 , 418 , 405 , 380 , 347 , 294 , 284 , 262 , 245 , 228 , 193 , 151 , 137 , 113 , 93 , 79 , 59 , 46 , 30 , 22 , 20 , 20 , 20 , 17 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
